Sesam-Karotten-KnuspersticksmitKräuterquarkundPetersilienkartoffeln,"3,1","5,1","6,5",07.10.2022,False
"SeelachsfiletOrlyimBierteig,Tomatensoße,Kräuterreis","3,6","5,6",7,07.10.2022,False
"Aktionstheke:FrischesWokgemüse,ThaiChiliSoßeundDuftreis","3,6","5,6",7,07.10.2022,True
"SchweineschnitzelToscana-Art,Schweinebratensoße,Pommesfrites,1Grießpuddingoder1Tomatensalat","4,1","6,1","7,5",07.10.2022,False
"mensaVital:Kartoffel-ErbseneintopfinSojarahmmitKorianderundMinze,Vollkornbrot","1,95","3,85","5,25",10.10.2022,True
"ZweigekochteEier,Spinat,Butterkartoffeln,1Schoko-Joghurtoder1ChinakohlsalatmitMandel","2,7","4,7","6,1",10.10.2022,False
Curry-HähncheninTomaten-KokossoßemitReis,"3,1","5,1","6,5",10.10.2022,False
"Kürbis-Kartoffel-Gröstl,Quark-Meerrettich-Dip","3,1","5,1","6,5",10.10.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,10.10.2022,True
Aktionstheke:BurgermitSmokeyRindundBacon,"5,7","7,7","9,1",10.10.2022,False
"VierEierkuchenmitApfelmus,Zucker&Zimt","1,95","3,85","5,25",11.10.2022,False
mensaInternational-Kamerun:gedünsteterKohlmitgebackenenKartoffeln,"1,95","3,85","5,25",11.10.2022,True
"mensaVital:TagliatellemitRucola-Nusspesto,GrilltomateundGurkensalat","3,1","5,1","6,5",11.10.2022,True
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,11.10.2022,True
"ÜberbackenerWrap,gefülltmitPutenstreifenausGönnatal,anSourCreme","4,5","6,5","7,9",11.10.2022,False
Aktionstheke:180gPutensteakausAltengönnamitPfirsichundSauceHollandaiseoderMexikanischemPfannengemüse,"4,9","6,9","8,3",11.10.2022,False
mensaVital:MediterranesSojageschnetzeltesmitReiskornnudeln,"1,95","3,85","5,25",12.10.2022,True
"Champignonrahm,KloßpommesausHeichelheim","2,4","4,4","5,8",12.10.2022,True
mensaVital:Makkaroni-Tomaten-Brokkoli-Auflauf,"2,7","4,7","6,1",12.10.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudelnoderBasmatireis,"3,6","5,6",7,12.10.2022,True
"Seelachsnuggets,Remouladensoße,Petersilienkartoffeln,1Mohnjoghurtoder1grünerSalatmitKräutern","4,5","6,5","7,9",12.10.2022,False
Aktionstheke:BurgermitSmokeyRindundBacon,"5,7","7,7","9,1",12.10.2022,False
"mensaInternational-Türkei:RoteLinsencremesuppe,dazueinhalbesFladenbrot","1,95","3,85","5,25",13.10.2022,True
"ZweiQuinoa-Erbsen-Frikadellen,Kräutersoße,Kartoffeln","2,4","4,4","5,8",13.10.2022,False
"mensaVital:TagliatellemitRucola-Nusspesto,GrilltomateundGurkensalat","3,1","5,1","6,5",13.10.2022,True
"mensaVital:MediterranesHähnchengeschnetzeltes,Kurkumareis,Mandelromanesco","3,1","5,1","6,5",13.10.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,13.10.2022,True
Aktionstheke:180gPutensteakausAltengönnamitPfirsichundSauceHollandaiseoderMexikanischemPfannengemüse,"4,9","6,9","8,3",13.10.2022,False
"mensaVital:VollkornspaghettimitGrünkern-Gemüsebolognese,dazuZucchini-Apfel-Salat","1,95","3,85","5,25",14.10.2022,True
"SpaghettimitAvocado-Pesto,1Apfel-Zucchinisalatoder1Stracciatellajoghurt","2,4","4,4","5,8",14.10.2022,False
Aktionstheke:FrischesWokgemüsemitTeriyakiSauceanMieNudeln,"3,6","5,6",7,14.10.2022,True
"Schweineschnitzel,Pilzrahmsoße,Pommesfrites,1StracciatellaJoghurt","4,1","6,1","7,5",14.10.2022,False
"GebackeneSüßkartoffelmitGrillgemüse,Kräuterquarkdip,1LatteMacchiatoPudding","4,5","6,5","7,9",14.10.2022,False
Aktionstheke:BurgermitSmokeyRindundBacon,"5,7","7,7","9,1",14.10.2022,False
mensaInternational-Frankreich:Kürbis-Karottensuppe,"1,95","3,85","5,25",17.10.2022,False
mensaVital:Grünkohl-Linsen-Kokos-PfannemitCurrykartoffeln,"1,95","3,85","5,25",17.10.2022,True
"VierKartoffeltaschen,Blattspinatsoße,1Früchtequarkspeise","3,1","5,1","6,5",17.10.2022,False
Aktionstheke:ReinpflanzlichesWokgemüseinTeriyakiSoßemitCashewkernendazuDuftreis,"3,1","5,1","6,5",17.10.2022,True
Aktionstheke:Yellow-BurgermitQuinoa-Chili-PattymitErbsen-MinzDip,"3,6","5,6",7,17.10.2022,False
"HähnchenCordonbleumitPutenschinken,Bratensoße,PommesfritesoderPetersilienkartoffeln,1grünerBlattsalat","4,1","6,1","7,5",17.10.2022,False
